Source,URL,Mise à jour,Catégorie,Question,Réponse,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Qu’est-ce que le coronavirus COVID-19 ?,"Les coronavirus sont une famille de virus, qui provoquent des maladies allant d’un simple rhume (certains virus saisonniers sont des coronavirus) à des pathologies plus sévères comme le MERS-CoV ou le SRAS. 
Le virus identifié en janvier 2020 en Chine est un nouveau coronavirus, nommé SARS-CoV-2. La maladie provoquée par ce coronavirus a été nommée COVID-19 par l’Organisation mondiale de la Santé - OMS. Depuis le 11 mars 2020, l’OMS qualifie la situation mondiale du COVID-19 de pandémie ; c’est-à-dire que l’épidémie est désormais mondiale.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,D’où vient le coronavirus COVID-19 ? ,Les premières personnes à avoir contracté le virus s’étaient rendues au marché de Wuhan dans la Province de Hubei en Chine. La maladie semblerait donc venir d’un animal (zoonose) mais l’origine n’a pas été confirmée.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Le virus,Quel est la dangerosité du coronavirus ?,"Le coronavirus est dangereux pour trois raisons :
-	Il est tres contagieux : chaque personne infectée va contaminer au moins 3 personnes en l'absence de mesures de protection.
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je travaille auprès d’enfants accueillis en externat en IME. L’établissement a cessé d’accueillir les enfants. Est-ce que je suis au chômage technique ?,"Non, aucun professionnel médico-social ne doit être placé en chômage technique. Sauf si vous êtes en arrêt maladie, vous êtes maintenu en activité.
Vous êtes mobilisé, sur les directives de la direction de votre établissement ou service, d’abord pour concourir à évaluer les besoins de soutien prioritaire au domicile de la personne ; vous pouvez également être sollicité pour aider à orienter la personne dans une structure d’hébergement si sa famille ne peut pas la prendre à charge à domicile. Il est important que, dans ce dernier cas, vous puissiez concourir à assurer toutes les transmissions utiles à la structure d’hébergement qui va accueillir la personne.
Ensuite, vous pouvez être mobilisé pour soutenir la continuité des soins somatiques et/ou de rééducation prioritaires et/ou des interventions éducatives prioritaires au domicile de l’enfant. Votre établissement est habilité en situation de crise à mobiliser ses équipes vers le domicile des personnes. Un texte réglementaire est établi par l’administration pour l’autoriser. Vous pouvez également être mobilisé, dans le respect des dispositions de votre contrat de travail, pour renforcer les effectifs d’une autre structure d’hébergement gérée par votre employeur ou d’une autre entité, dans le cadre de la solidarité territoriale.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Est-ce que je bénéficie du mode de garde d’enfants mis en place pour les personnels soignants ?,"Les professionnels du médico-social bénéficient du mode de garde de leurs enfants, qu'ils soient ou non en situation de handicap et quel que soit leur mode d’accompagnement. La mise en place d'une garde pour les enfants des professionnels de santé qui peuvent avoir des enfants en situation de handicap n'est pas conditionnée à la mise en place d'un PAI pour l'enfant.
La CAF a mis en place un certain nombre de dispositions :
- L’accueil des enfants dans les crèches est gratuit
- Les parents peuvent faire connaître leurs besoins de garde pour les enfants jusqu’à 16 ans en ligne sur https://www.monenfant.fr. Leurs données sont ensuite transmises à la Préfecture du département, qui étudie leurs besoins et proposent les solutions disponibles, en lien avec les Caf.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Est-ce que pendant les vacances scolaires, ce mode de garde va se poursuivre ?,Le service de garde pour les enfants des professionnels prioritaires, dont ceux du médico-social, sera bien maintenu pendant les congés. L’Education nationale et les services locaux organisent la continuité.,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Que signifie assurer la continuité de l’accompagnement médico-social ?,"Par principe de précaution, l’activité habituelle des externats pour enfants et adultes est suspendue pour favoriser le maintien à domicile des personnes.
Dans la mesure des capacités et des ressources disponibles, l’accompagnement médico-social se maintient, mais sous des formes différentes que celles mises en oeuvre habituellement.
La nature et la fréquence des interventions sont amenées à changer, pour tenir compte des besoins prioritaires et des ressources disponibles.
Ce n’est plus une activité « dans les murs » mais des modalités diverses d’activité « hors les murs » qui sont mobilisées. Les équipes qui travaillent habituellement en externat sont autorisées sur le plan réglementaire à intervenir au domicile des personnes, sur des gestes ou des temps où les proches aidants ne peuvent pas prendre le relais. Les équipes des SESSAD, des SAVS, des SAMSAH et des SSIAD sont mobilisées également par les établissements et services pour intervenir prioritairement au domicile des personnes.
Une attention est prêtée à la capacité des familles et des proches aidants à soutenir à court terme et sur la durée la prise en charge de leur proche. Afin d’éviter une rupture de parcours et/ou l’épuisement de l’aidant, les intervenants médico-sociaux au domicile veillent à repérer les facteurs de fragilisation de l’aidant et proposent des temps de répit et/ou l’orientation en accueil temporaire de la personne aidée, en concertation avec chacun.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Pourquoi les professionnels médico-sociaux sont-ils maintenus en activité ? ,"Les professionnels du secteur médico-social assument des missions conjointes de soins, de rééducation, d’éducation et de pédagogie auprès des personnes en situation de handicap.
Ces prestations sont notifiées par la MDPH au titre de la compensation collective que la solidarité nationale organise pour les personnes en situation de handicap.
A ce titre, les professionnels du secteur médico-social assument, comme les professionnels hospitaliers, des missions incompressibles nécessaires à la continuité des accompagnements en gestion de crise.
C’est pourquoi l’Etat met en place un service de garde d’enfants pour les professionnels du secteur médico-social.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Est-ce que je vais être obligé de travailler pour un autre employeur ? ,De par le contexte de gestion de crise, les différents organismes gestionnaires médico-sociaux sont invités à organiser sur le territoire la complémentarité de leurs actions au service des personnes et de leurs familles. Ils sont notamment invités à s’entraider en cas de difficulté à assurer des effectifs en nombre suffisant. Un appel à candidatures sera fait par la direction de l’établissement pour recenser les professionnels volontaires pour intervenir auprès d’un autre organisme gestionnaire. La direction de votre établissement réalise alors une mise à disposition temporaire. Vous restez salarié et rémunéré par votre employeur habituel.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je travaille dans une structure d’accueil temporaire. Est-ce qu’elle va fermer ?,"Les ARS organisent, en lien avec les organismes gestionnaires, l’identification de la ou des structures d’accueil temporaire qui doivent rester ouvertes sur le territoire pour assurer l’accueil en urgence de personnes handicapées vivant à domicile :
- dont l’accompagnement ne peut plus être assuré par les services habituels ;
- ou dont le proche aidant est hospitalisé ou nécessite du répit.

Si votre structure d’accueil temporaire est fléchée comme structure de recours pour le territoire dans le cadre de la gestion de crise, alors votre structure restera ouverte ; ses capacités d’ouverture pourront être adaptées en fonction du nombre de personnes à accueillir et des ressources disponibles.
Si une personne dont le proche est hospitalisé pour infection par le Coronavirus doit être accueillie en urgence dans votre structure d’accueil temporaire, la personne est accueillie dans une zone de confinement prévue par la structure et isolée dans sa chambre jusqu’à nouvel ordre. L’objectif est d’éviter d’hospitaliser la personne dans un contexte de surcharge de l’activité hospitalière.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je travaille dans un CAMSP ou dans un CMPP. Est-ce que ma structure ferme ?,Les CAMSP et les CMPP sont des établissements médico-sociaux organisant des activités et des consultations en ambulatoire. Ils sont maintenus en activité pour projeter leurs interventions et leurs ressources prioritairement en soutien de la continuité d’accompagnement au domicile des personnes.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Qu’en est-il de l’accueil en Centre médico-psychologique ?,Il est prévu un maintien des activités des CMP en première ligne mais limité aux prises en charge individuelles. Les CMP doivent privilégier une organisation téléphonique et la téléconsultation (ou autre solution de visio-conférence) et un ensemble de modalités qui permettent de maintenir le lien avec les patients, avec par exemple l’envoi des ordonnances aux pharmacies par mail ou par fax et avec la possibilité pour certains patients d’un renouvellement d’ordonnance pour 3 mois.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je travaille dans un SESSAD ou un SAVS ou un SAMSAH. Est-ce que je vais travailler différemment ?,"Les SESSAD, les SAVS et les SAMSAH sont mobilisés prioritairement pour intervenir au domicile des personnes habituellement accueillies en externat.
Ces services peuvent alors sur décision de la direction être renforcés par les effectifs des externats qui ont suspendu leur activité.
La nature et la fréquence des interventions habituelles sont amenées à évoluer pour tenir compte des besoins prioritaires des personnes, celles déjà accompagnées par les SESSAD, SAVS et SAMSAH mais aussi les besoins des nouveaux bénéficiaires précédemment accompagnés en externat.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je travaille dans un centre de rééducation professionnelle et de pré-orientation, est-ce que ma structure ferme ?,"Les centres seront fermés et la formation à distance sera mise en oeuvre chaque fois que possible.
Les professionnels rendus disponibles restent mobilisés par le gestionnaire pour renforcer les accompagnements sur d’autres structures de l’organisme gestionnaire ou sont mis à disposition, avec l’accord des professionnels et sur la base du volontariat, d’autres organismes gestionnaires ayant besoin de renfort sur le territoire.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je suis stagiaire en formation dans un centre de rééducation professionnel ou dans un centre de pré-orientation, ma rémunération en tant que stagiaire va-t-elle être maintenue même si le centre est fermé ?,"Si votre centre de rééducation professionnelle ou de pré-orientation est en capacité d’assurer la poursuite de la formation à distance, vous continuez la formation proposée.
Si la session de formation est suspendue, elle reprendra, quand cela sera possible, au stade où elle a été arrêtée.
Dans tous les cas, le principe est le maintien d’une rémunération pour le bénéficiaire de la formation. Ainsi, si vous être stagiaire en CRP ou CPO, votre rémunération est maintenue même si la formation est suspendue. ",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Ne peut-on pas mobiliser les psychologues pour constituer une cellule d’écoute sur les territoires ?,L’initiative locale est laissée aux libéraux. Mais les psychologues salariés des ESMS sont impliqués comme tous les autres professionnels dans la continuité de l’accompagnement en appui du domicile : ceci est une clause obligatoire de fonctionnement des externats fermés pendant la période de confinement.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Si je ne travaille pas en appui de la continuité d’accompagnement au domicile des personnes, à quels autres besoins puis-je répondre ?,"Les professionnels des externats et des services mobiles (SESSAD, SAVS, SAMSAH, etc…) sont mobilisés prioritairement en appui de la continuité d’accompagnement au domicile des personnes.
Ils sont fléchés également pour intervenir en appui des structures d’hébergement qui ne peuvent pas fermer (comme les internats pour enfants et les structures types FH, FAM, MAS) et dont les effectifs d’encadrement doivent être prioritairement sécurisés.
Afin de soutenir la qualité et la personnalisation des accompagnements dans cette période de crise, il est recommandé, autant que possible, de permettre aux équipes des externats et des services mobiles de commencer à intégrer les structures adultes pour prise en compte des besoins personnalisés, avant même que les difficultés de personnel demandent une organisation de suppléance en urgence.
Cela favorise la sérénité du cadre de travail pour les professionnels et une continuité d’accompagnement pour les résidents.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,En qualité de professionnel du secteur médico-social, quel rôle puis-jouer lorsqu’une personne accueillie en structure d’hébergement est hospitalisée pour cause de suspicion ou d’infection avérée par le Coronavirus ?,"Avec les proches aidants, vous êtes celui ou celle qui connaissez le mieux les habitudes de vie de la personne et les points de vigilance.
Il est important que vous transmettiez au service hospitalier d’accueil la fiche des habitudes de vie et que vous puissiez répondre aux questions des professionnels hospitaliers qui vont assurer les soins au quotidien. Ils ne connaissent pas tous comme vous les particularités d’accompagnement des différents types de handicap (communication non verbale, évaluation de la douleur, repérage des troubles somatiques, habitude de vie pour manger, se déplacer, se laver et dormir).
En vous protégeant, vous pouvez accompagner la personne à l’hôpital et aider à la bonne transmission des informations auprès de l’équipe hospitalière.
Au sein de la structure médico-sociale d’hébergement, il est procédé à une désinfection complète de la chambre et de son environnement ; une vigilance est observée pour repérer et confiner les personnes présentant des symptômes type fièvre et toux. ",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je suis directeur d’un établissement et je n’ai pas les ressources suffisantes pour organiser une astreinte téléphonique 7 jours sur 7 à l’attention des familles et des personnes. Comment puis-je m’organiser ?,"Vous signalez la situation à votre autorité de tarification et de contrôle (ARS, Conseil départemental) afin de trouver une solution pour organiser une astreinte téléphonique mutualisée entre plusieurs opérateurs du territoire. Il est important que les personnes revenues à domicile et leurs familles puissent joindre un professionnel du médico-social en cas de difficulté.
De même, si vos effectifs ne vous permettent pas d’assurer la continuité des accompagnements prioritaires au domicile des personnes, vous organisez avec les autres partenaires médico-sociaux et de droit commun du territoire, en fonction des ressources disponibles, les interventions qui peuvent être mobilisées (SESSAD d’un autre organisme, service d’aide à domicile, hospitalisation à domicile).
Dans tous les cas, il est important d’assurer la transmission des informations utiles à un accompagnement de qualité et sécurisé. De même, il est important d’assurer un contact régulier avec la personne et la famille que vous accompagnez habituellement.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Comment puis-je aider les professionnels à gérer au mieux la complexité ainsi que les fortes inquiétudes liées à l’état de santé des personnes, leur propre état de santé et celui de leur famille ?,Il est recommandé de mettre en place une cellule d’écoute psychologique à l’attention des professionnels qui peuvent être confrontés dans la période de crise à d’importantes tensions professionnelles et autant de contraintes personnelles.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Pendant la durée du confinement, est-ce que toute nouvelle admission en structure médico-sociale est suspendue ?,"Si aucune nouvelle admission ne peut être faite en externat, la règle est différente pour les internats où il est admis le principe :
- D’une nouvelle admission en urgence, du fait de l’hospitalisation d’un aidant ou des risques pris à laisser en confinement une personne au domicile de l’aidant qui ne fait plus face à la charge de l’accompagnement ;
- D’un retour après hospitalisation d’un résident, afin de ne pas surcharger l’activité hospitalière, si le retour chez un proche aidant n’est pas envisageable.
Dans tous les cas, l’admission ou le retour dans la structure d’un résident doivent s’accompagner d’une période totale de confinement en chambre individuelle de 14 jours, avec surveillance médicale rapprochée à l’entrée et à chaque jour du confinement.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Comment prévenir l’émergence de cas groupés d’infection dans les structures d’hébergement ?,"En prévention de la propagation du virus dans les structures d’hébergement, il est important que chaque organismes gestionnaire contrôle :
- la mise en place renforcée des gestes barrière ;
- l’existence de zones de confinement dans les structures d’hébergement ;
- la formation de nouveau professionnel entrant au respect des gestes barrière et au fonctionnement des règles d’hygiène au sein des zones de confinement 
- la mise en place d’organisations internes favorisant la distanciation sociale (repas en chambre si symptômes, heures décalées de repas, activités non groupées, affectation de chambres individuelles, etc…).",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Comment mobiliser les étudiants et prolonger leurs stages ?,La DGCS a envoyé mercredi 18 mars à toutes les DRJSCS et aux Préfets de région, un courrier sur la mise en place d’un dispositif de mobilisation des étudiants en travail social volontaires. Afin de pallier l’absence de salariés liée à l’épidémie du COVID-19, et alors que des stages sont suspendus, des employeurs du secteur social et médico-social peuvent donc recourir à des étudiants du travail social disponibles et volontaires pour apporter un appui dans les semaines à venir. Ainsi, la DGCS demande aux établissements de formation de maintenir le stage de cursus de l’apprenant lorsque ce dernier et la structure d’accueil en ont manifesté le souhait. De plus, cette directive de la DGCS cadre et rappelle les règles à observer et la démarche à suivre afin de pouvoir proposer aux autres étudiants volontaires et sans stage des CDD ou des conventions de stage.,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Quelle règle de report pour les comptes administratifs et les EPRD ?,Afin de soutenir les ESMS dans cette période de gestion de crise, il a été acté un report du calendrier de dépôt des différents documents budgétaires comme l’EPRD, les rapports d’activité et les comptes administratifs. Cet objectif de facilitation administrative est intégré à la loi d'urgence pour faire face à l'épidémie de COVID-19.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Y aura-t-il des dérogations aux autorisations des ESMS pour adapter l’activité à la situation ? ,Afin d’apporter des mesures de simplification administrative permettant de diversifier en période de crise les modalités d’intervention des ESMS, il est proposé d’assouplir les agréments actuels des établissements afin d’élargir leur périmètre et la nature de leurs interventions. Cet objectif de simplification administrative est intégré à la loi d'urgence pour faire face à l'épidémie de COVID-19.,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je gère un ESAT, que va-t-il se passer ?,"Les travailleurs handicapés fragiles doivent être maintenus à domicile, en télétravail ou non.
Les ESAT doivent organiser la réduction de leurs activités au strict minimum, et la fermeture de tous les lieux de restauration ouverts au public.
Cette réduction doit également concerner les mises à disposition et les unités de travail « hors les murs » en tenant compte des spécificités de cette activité professionnelle. L’organisme gestionnaire engage sans délai une concertation étroite avec les employeurs concernés et les travailleurs en priorisant les mesures de protection de la personne.
Afin de ne pas conduire à des ruptures de services essentiels, il conviendra néanmoins de construire les continuités d’activité nécessaire pour les secteurs de sous traitance et de prestations sensibles, notamment ceux liés au fonctionnement des établissements médico-sociaux (blanchisserie, nettoyage, restauration collective etc).
Pour ce faire, après avoir procédé au repérage des travailleurs handicapés présentant des risques de complications de santé et employés sur ces activités, et mis en oeuvre les mesures de protection de ces travailleurs en organisant leur maintien au domicile, les organismes gestionnaires, en lien avec les Agences régionales de santé, devront, aux côtés de leurs commanditaires, organiser les conditions de maintien de ces services y compris en trouvant les relais auprès d’autres prestataires.
Les fermetures d’activité devront être accompagnées d’une concertation par les gestionnaires avec les travailleurs, leurs proches, leurs structures d’hébergement et leurs services d’accompagnement dans la vie quotidienne afin d’organiser dans les bonnes conditions, sans risque d’isolement, le maintien au domicile, qu’il soit personnel ou collectif.
Le Gouvernement soutient les ESAT confrontés à des réductions ou fermetures d’activité en leur garantissant le maintien de l’intégralité de leurs dotations et aides aux postes pendant toute la période.
Les ESAT peuvent aussi bénéficier des facilités de trésorerie déjà en place pour l’ensemble des entreprises : mesures de report de charges sociales et fiscales, prêts de trésorerie, médiation bancaire. Ils peuvent également solliciter par demande amiable le report des factures de loyer, d’eau, de gaz et d’électricité. 
Pour amplifier l’efficacité des réponses auprès des personnes en situation de handicap et la prévention de l’isolement, les professionnels d’ESAT sont appelés à venir renforcer les capacités d’accompagnement des personnes en situation de handicap maintenues à domicile.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Je suis un enseignant spécialisé qui intervient au sein d’une structure médico-sociale type IME. L’IME ayant suspendu ses activités « dans les murs », est-ce que je suis tenue d’assurer une continuité éducative ?,"Les enseignants spécialisés doivent se conformer aux dispositions prises par la direction de l’établissement dont dépend l’unité d'enseignement (notamment en matière des modalités relatives au maintien du contact avec les familles).
La direction mobilise ainsi avec les enseignants spécialisés les ressources matérielles utiles à la continuité pédagogique pour les enfants en situation de handicap maintenus au domicile de leurs parents.
L’enseignement à distance s’adapte aux ressources disponibles et aux capacités d’apprentissage à distance des enfants.
Les outils et procédures mis en place dans les différents établissements peuvent faire l’objet d’un partage de pratiques innovantes entre les organismes gestionnaires.",,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Dans quelles conditions les enseignants spécialisés des établissements médico-sociaux et des unités d’enseignement externalisées peuvent-ils accéder aux plateformes de continuité éducative du CNED ?,"Les enseignants spécialisés qui enseignent dans les établissements médico-sociaux ou en unité d’enseignement à l’école et qui disposent d’une adresse académique peuvent utiliser les plateformes de continuité éducative du CNED, en complément des initiatives des établissements et des enseignants et sans prétention d’exhaustivité.
A la différence des inscriptions classiques au CNED, c’est l’enseignant de l’élève qui est le garant de la continuité pédagogique.
Le dispositif de classe virtuelle du CNED permet aux enseignants de proposer des ressources aux élèves et de les orienter vers des contenus adaptés à leur situation.
L’accès au service de classe virtuelle est immédiatement opérationnel, une fois que l’enseignant a renseigné son profil enseignant et son académie d’implantation (ne pas utiliser académie « autre »). 
La création de comptes élèves se fait librement sans contrôle d’appartenance à telle ou telle structure.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Les enseignants des INJS et des IES peuvent-ils avoir accès au dispositif de classe virtuelle pour assurer la continuité éducative ?,"850 enseignants spécialisés intervenant dans les Instituts d'Education Sensorielle, dans les Instituts Nationaux de Jeunes Sourds ou à l'institut National des Jeunes Aveugles de Paris, ont désormais accès à ""ma classe virtuelle"" que propose le CNED, avec leur adresse numérique professionnelle au même titre que l'ensemble des enseignants.
L’accès à « ma classe virtuelle » des enseignants des établissements pour jeunes sourds, rend désormais possible l’accessibilité des cours en visio-conférence et des possibilités de sous-titrage.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Professionnels médico-sociaux,Continuité pédagogique pour les élèves à besoins éducatifs particuliers,"Le 1er avril 2020, le ministère de l’Education nationale et de la Jeunesse met en ligne sur sa page web EDUSCOL (https://eduscol.education.fr/cid150809/continuite-pedagogique-pour-les-eleves-a-besoins-educatifs-particuliers.html#lien1) un ensemble de ressources pédagogiques à destination des enseignants et des familles afin de les aider à adapter l'enseignement aux élèves à besoins éducatifs particuliers.
Ces ressources, régulièrement enrichies d'autres ressources, sont réparties en deux parties :
- Des ressources pour tous les élèves à besoins éducatifs particuliers : https://eduscol.education.fr/cid150809/continuite-pedagogique-pour-les-eleves-a-besoins-educatifs-particuliers.html#lien0
- Des ressources en fonction des troubles de certains élèves : https://eduscol.education.fr/cid150809/continuite-pedagogique-pour-les-eleves-a-besoins-educatifs-particuliers.html#lien1",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Que se passe-t-il si je ne respecte pas les mesures de confinement ?,"100 000 policiers et gendarmes sont chargés de s’assurer que chaque personne soit en possession de son attestation pour quitter son domicile, sur l’intégralité du territoire national avec des points de contrôle fixes et mobiles en particulier dans les gares et les aéroports.
Si vous ne respectez pas cette obligation, vous vous exposez à une amende forfaitaire de 135 euros (qui peut être majorée à 450 euros). En cas de récidive de cette violation, l’amende est de 200 euros (pour 2 violations en 15 jours) et devient un délit puni de 6 mois d’emprisonnement et de 3750 euros d’amende en cas de récidive de plus de 3 fois dans un délai de 30 jours.",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,La police municipale peut-elle verbaliser ?,La police municipale peut désormais, tout comme les gardes champêtres et les agents de la Ville de Paris chargés d’un service de police, dresser les contraventions. ,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Puis-je refuser un contrôle si l’agent de police ne respecte pas les gestes barrières ?, Non, cependant des consignes ont été données aux forces de l’ordre pour respecter les gestes barrières, tout comme chaque personne contrôlée doit aussi les respecter.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Mon titre de séjour devait être renouvelé en ce moment. La police fera-t-elle preuve de tolérance à l’issue du confinement ?,"La situation exceptionnelle justifie de dispenser les personnes étrangères, dont la durée de validité du titre de séjour est expirée à compter du 16 mars dernier, d’accomplir les démarches pour en solliciter le renouvellement. Elle n'ont pas à se déplacer pour ce motif. La validité des titres de séjour est prolongée jusqu’à 90 jours. Ainsi, la situation au regard du séjour ou de l’asile des étrangers concernés est sécurisée, sans aucune rupture de droits.
Les catégories de titres concernées par cette mesure sont :
- les visas de long séjour
- les titres de séjour
- les autorisations provisoires de séjour
- les récépissés de demande de titre de séjour
- les attestations de demande d’asile",,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Que faire si je dépasse le temps indiqué sur mon attestation en raison du temps d’attente dans certains supermarchés ?,La limite d’une heure concerne uniquement les déplacements liés à l'activité physique individuelle, la promenade et aux besoins des animaux de compagnie. Pour les autres déplacements, dont les achats de première nécessité, la durée n’est pas limitée. Néanmoins, il vous est fortement recommandé d'organiser vos sorties pour qu'elles soient les plus brèves possibles.,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Puis-je être contrôlé dans les jardins de ma copropriété ?,Non la copropriété est un domicile et les contrôles ne s'exercent que sur la voie publique. La copropriété est cependant tenue de faire respecter, dans les espaces communs, les règles relatives aux confinement.,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Les mineurs sont-ils autorisés à sortir seuls ?,Les mineurs bénéficient des mêmes exceptions à l'interdiction de déplacement que les majeurs, dans les mêmes conditions, à ceci près que leur attestation dérogatoire de déplacement doit en outre être signée par le titulaire de l'autorité parentale. Ils n'ont en revanche pas vocation à être nécessairement accompagnés par un adulte. Lorsque le mineur travaille, il doit être muni, comme le majeur, d'un justificatif de déplacement professionnel, signé de son employeur ou, s'il n'a pas d'employeur de l'attestation de déplacement dérogatoire.,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Des reconduites à domicile auront-elles lieu ? Comment seront organisés les contrôles ? ,Il sera infligé une contravention et on demandera aux personnes de retourner chez elles mais il n’y aura pas de reconduites à domicile. ,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Sera-t-on suivi par les forces de l’ordre pour vérifier qu'on fait bien ce qu'on a dit ?,Les forces de l’ordre exercent des missions de contrôle fixe et dynamique sur l’ensemble du territoire. Les documents présentés par les personnes en déplacement pourront donner lieu à des contrôles plus approfondis au besoin.,,,,,,,,,,,,,,,,,,,,
Premier Ministre,www.gouvernement.fr/info-coronavirus,02/04/2020 23:00,Règlementation du confinement,Doit-on déclarer le lieu où nous sommes confinés ?,Lors d’un contrôle par les forces de l’ordre vous devez indiquer votre lieu de confinement s’il vous est demandé afin que la nature de votre déplacement puisse être vérifiée.,,,,,,,,,,,,,,,,,,,,
